system   D            wsystem.c:583  maybe_parent_dir                 [   0.00044] Also searching C:\Code\Orchid\
display  D   display_settings.c:357  _al_score_display_settings       [   0.03621] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03624] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03626] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03628] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03630] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03632] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03635] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03637] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03639] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03641] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03643] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03646] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03648] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03650] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03652] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03655] Single Buffer requirement not met.
display  D   display_settings.c:197  _al_score_display_settings       [   0.03657] Display not compatible with Allegro.
display  D   display_settings.c:197  _al_score_display_settings       [   0.03659] Display not compatible with Allegro.
d3d      D         d3d_disp.cpp:1836 d3d_create_display_internals     [   0.03667] Trying format 0 of 140.
d3d      I         d3d_disp.cpp:1514 d3d_display_thread_proc          [   0.03729] Chose a display format: 23
d3d      I         d3d_disp.cpp:1583 d3d_display_thread_proc          [   0.03734] Normal window.
d3d      I         d3d_disp.cpp:978  d3d_create_device                [   0.05473] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:1058 d3d_create_device                [   0.07946] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:1066 d3d_create_device                [   0.07952] Success
d3d      D         d3d_disp.cpp:1859 d3d_create_display_internals     [   0.07956] Resumed after wait.
d3d      I         d3d_disp.cpp:1884 d3d_create_display_internals     [   0.07974] Format 0 succeeded.
d3d      W         d3d_disp.cpp:798  d3d_destroy_device               [   0.27083] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1705 d3d_display_thread_proc          [   0.30750] d3d display thread exits
